farm_additional_housing_system_id	farm_animal_housing_category_id	substance_id	reduction_factor
1	161	17	0
1	162	17	0
1	163	17	0
1	164	17	0
1	165	17	0
1	166	17	0
1	177	17	0
1	178	17	0
1	179	17	0
1	180	17	0
1	181	17	0
1	182	17	0
1	183	17	0
1	184	17	0
1	185	17	0
1	186	17	0
1	187	17	0
1	188	17	0
1	189	17	0
1	190	17	0
1	191	17	0
1	192	17	0
1	193	17	0
1	194	17	0
1	195	17	0
1	196	17	0
1	197	17	0
1	198	17	0
1	199	17	0
1	200	17	0
1	212	17	0
1	213	17	0
1	214	17	0
1	215	17	0
1	216	17	0
1	217	17	0
2	138	17	0
2	139	17	0
2	140	17	0
2	141	17	0
2	142	17	0
2	143	17	0
2	155	17	0
2	156	17	0
2	157	17	0
2	158	17	0
2	159	17	0
2	168	17	0
2	169	17	0
3	134	17	0
3	144	17	0
3	148	17	0
3	149	17	0
3	150	17	0
3	151	17	0
3	152	17	0
3	153	17	0
3	154	17	0
3	160	17	0
3	170	17	0
3	171	17	0
3	172	17	0
3	173	17	0
3	174	17	0
3	175	17	0
3	176	17	0
4	177	17	0
4	178	17	0
4	179	17	0
4	180	17	0
4	181	17	0
4	183	17	0
4	184	17	0
4	185	17	0
4	186	17	0
4	187	17	0
4	188	17	0
5	126	17	0
5	127	17	0
5	128	17	0
5	129	17	0
5	130	17	0
5	131	17	0
5	132	17	0
5	133	17	0
5	134	17	0
5	135	17	0
5	136	17	0
5	137	17	0
5	138	17	0
5	139	17	0
5	140	17	0
5	141	17	0
5	142	17	0
5	143	17	0
5	144	17	0
5	145	17	0
5	146	17	0
5	147	17	0
5	148	17	0
5	149	17	0
5	150	17	0
5	151	17	0
5	152	17	0
5	153	17	0
5	154	17	0
5	155	17	0
5	156	17	0
5	157	17	0
5	158	17	0
5	159	17	0
5	160	17	0
5	161	17	0
5	162	17	0
5	163	17	0
5	164	17	0
5	165	17	0
5	166	17	0
5	167	17	0
5	168	17	0
5	169	17	0
5	170	17	0
5	171	17	0
5	172	17	0
5	173	17	0
5	174	17	0
5	175	17	0
5	176	17	0
5	177	17	0
5	178	17	0
5	179	17	0
5	180	17	0
5	181	17	0
5	182	17	0
5	183	17	0
5	184	17	0
5	185	17	0
5	186	17	0
5	187	17	0
5	188	17	0
5	189	17	0
5	190	17	0
5	191	17	0
5	192	17	0
5	193	17	0
5	194	17	0
5	195	17	0
5	196	17	0
5	197	17	0
5	198	17	0
5	199	17	0
5	200	17	0
5	201	17	0
5	202	17	0
5	203	17	0
5	204	17	0
5	205	17	0
5	206	17	0
5	207	17	0
